id,category,requirement,required_by,status,kernel_evidence,verify
N1,network,"Directed links sorted by from_node_id",all,OK,"CSR build; converter sorts","run: no NOT-sorted warning"
N2,network,"Centroid node_id==zone_id",all,OK,"loader check","run: no zone_id error"
N3,network,"Per-lane capacity = period cap / lanes",all,OK,"link.csv capacity","lanes*capacity = directional cap"
N4,network,"Facility x area-type capacity/speed lookup",all,CONV,"converter precompute","SPEED/AMCAPACITY in link.csv"
N5,network,"Period capacity factors (AM 3.66 etc.)","ARC,MWCOG",CONV,"converter","AMCAPACITY = period cap"
N6,network,"Weave capacity 0.98^(lanes-1)",ARC,CONV,"converter","apply when WEAVEFLAG & lanes>4"
V1,vdf,"Standard BPR t0(1+a*x^b)","TRPA,ODOT,VDOT,MTC",OK,"TAPLite.cpp BPR","Tc matches formula on test link"
V2,vdf,"Modified BPR + linear term t0(1+A*x+a*x^b)",ARC,OK,"VDF_A TAPLite.cpp:74,4024","set vdf_A>0; Tc matches"
V3,vdf,"QVDF queue-based",DTALite,OK,"TAPLite.cpp:2333","vdf_type=2 + cp/cd/n/s"
V4,vdf,"Conical (Spiess)","MWCOG,VDOT",STAGED,"Conic_a/b TAPLite.cpp:79-80","finish; wire vdf_type=1; test vs formula"
V5,vdf,"MTC 4/3-shift BPR",MTC,OK_CONV,"a=0.20 b=6 + 4/3 prescale","converter pre-scales v/c"
V6,vdf,"BPR2 / INRETS / Akcelik","AequilibraE,VDOT-opt",EXT,"absent","add VDF types 3/4/5 + derivatives"
V7,vdf,"Per-facility VDF coefficients","ARC,TRPA,SANDAG,MTC",OK_CONV,"per-link vdf_alpha/beta/A","converter writes from lookup"
V8,vdf,"Differentiable VDF for CFW/BFW",solver,EXT,"n/a","provide dt/dv with V6"
S1,solver,"Static UE Frank-Wolfe",most,OK,"FW+Armijo TAPLite.cpp:1565-1907","gap decreases monotonically"
S2,solver,"Relative-gap stop N consecutive iters","ARC,SERPM",OK,"convergence_gap_pct/consecutive :315-319,3542","settings 1e-4/3 stops after 3"
S3,solver,"Bi-conjugate Frank-Wolfe","ARC,MWCOG,VDOT",EXT,"only plain FW","add BFW option"
S4,solver,"Progressive gap across feedback",MWCOG,EXT,"single target","add per-feedback gap schedule"
S5,solver,"Standard relative-gap definition",all,PARTIAL,"confirm formula","compare to (sumVC-sumV_AoN*C)/sumVC"
C1,cost,"Per-mode toll / additional cost","ARC,SANDAG,MTC,MWCOG",OK,"mode_AdditionalCost :445,577","per-mode toll alters path"
C2,cost,"Distance operating cost","ARC,SANDAG",OK,"op_cost TAPLite.cpp:230","longer paths cost more"
C3,cost,"Per-class PCE","ARC,SANDAG",OK,"pce :1411,3208","truck pce=2 doubles v/c"
C4,cost,"Occupancy person metrics",all,OK,"occ :3704","PMT/PHT output"
C5,cost,"Per-class VOT in generalized cost","ARC,SERPM,SANDAG",OK,"/vot*60 money-to-time TAPLite.cpp:4816,4057-4060","set mode vot; toll/op_cost convert to minutes"
C6,cost,"Toll-eligible class split (NT/TR)","ARC,SANDAG,MTC",CONV,"separate demand classes","converter emits _nt/_tr demand"
C7,cost,"Per-mode allowed_use dedicated paths","ARC,SANDAG,MTC",OK,"allowed_use :14 refs","1-iter: SOV vol=0 on hov-only"
T1,tod,"Per-period assignment (4-5 TOD)",all,CONV,"settings periods","run EA/AM/MD/PM/EV"
T2,restrict,"Managed-lane/HOV access from coding","ARC,SANDAG,MTC",CONV_OK,"PROHIBIT/HOV->allowed_use","converter map (ARC done)"
O1,io,"ref_volume target on links",all,OK,"ref_volume :9","compare in link_performance"
O2,io,"link volume/speed/VMT/VHT/vc outputs",all,OK,"link_performance.csv","columns present"
O3,validation,"R2 / %RMSE by volume group & facility type","VDOT,ODOT,ARC",EXT,"no plugin","add validation plugin"
O4,validation,"VMT by functional class","VDOT,ARC",EXT,"manual","add to validation plugin"
O5,validation,"Screenline/cutline ratios",VDOT,EXT,"none","add screenline aggregation"
O6,validation,"ODME",ARC-binary,EXT_TAPLite,"odme_mode in DTALite.exe not TAPLite.cpp","port ODME to TAPLite"
