link_id,from_node_id,to_node_id,length_m,free_speed_kmh,lanes,capacity,link_type,allowed_uses
1,1,101,300,40,1,600,connector,auto
2,101,1,300,40,1,600,connector,auto
3,5,101,700,40,1,600,connector,auto
4,101,5,700,40,1,600,connector,auto
5,101,102,2200,60,2,2400,road,auto
6,102,101,2200,60,2,2400,road,auto
7,102,103,2200,60,2,2400,road,auto
8,103,102,2200,60,2,2400,road,auto
9,103,104,1500,60,2,2400,road,auto
10,104,103,1500,60,2,2400,road,auto
11,104,4,300,40,1,600,connector,auto
12,4,104,300,40,1,600,connector,auto
13,101,301,250,20,1,300,park_access,auto
14,301,101,250,20,1,300,park_access,auto
15,102,302,220,20,1,300,dropoff_access,auto
16,302,102,220,20,1,300,dropoff_access,auto
17,1,211,220,5,,,walk,walk
18,211,1,220,5,,,walk,walk
19,2,202,180,5,,,walk,walk
20,202,2,180,5,,,walk,walk
21,3,203,160,5,,,walk,walk
22,203,3,160,5,,,walk,walk
23,4,213,150,5,,,walk,walk
24,213,4,150,5,,,walk,walk
25,212,202,130,5,,,walk_transfer,walk
26,202,212,130,5,,,walk_transfer,walk
27,301,201,200,5,,,walk,walk
28,201,301,200,5,,,walk,walk
29,302,202,190,5,,,walk,walk
30,202,302,190,5,,,walk,walk
