node_id,name,x_coord,y_coord,node_type,zone_id,ctrl_type
1,Z1,-77.0000,38.9000,centroid,1,
2,Z2,-76.9700,38.9200,centroid,2,
3,Z3,-76.9400,38.9000,centroid,3,
4,Z4,-76.9400,38.9200,centroid,4,
5,Z5,-77.0000,38.9200,centroid,5,
6,Z6_island,-76.9100,38.9300,centroid,6,
101,road_A,-76.9900,38.9000,road,,
102,road_B_signal,-76.9700,38.9000,road,,1
103,road_C,-76.9500,38.9000,road,,
104,road_D,-76.9400,38.9100,road,,
201,rail_R1,-76.9900,38.9100,rail_station,,
202,rail_R2_hub,-76.9700,38.9100,rail_station,,
203,rail_R3,-76.9500,38.9100,rail_station,,
211,bus_B1,-76.9980,38.9000,bus_stop,,
212,bus_B2,-76.9700,38.9120,bus_stop,,
213,bus_B3,-76.9400,38.9200,bus_stop,,
301,pnr_lot,-76.9900,38.9080,parking,,
302,knr_curb,-76.9700,38.9060,dropoff,,
