route_key,mode,o_zone_id,d_zone_id,volume,total_distance_mile,total_distance_km,straight_line_distance_mile,straight_line_distance_km,distance_ratio,total_free_flow_travel_time,total_congestion_travel_time,google_maps_http_link,WKT_geometry
1_2_sov,sov,1,2,100,6,9.654,2.99955,4.82627,2.0003,6,6.00086,"https://www.google.com/maps/dir/43.612828,-96.770420/43.605813,-96.711251/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813)"
1_3_sov,sov,1,3,100,4,6.436,2.76137,4.44305,1.44855,4,4.00899,"https://www.google.com/maps/dir/43.612828,-96.770420/43.572962,-96.774303/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962)"
1_4_sov,sov,1,4,500,8,12.872,3.59139,5.77855,2.22755,8,8.31257,"https://www.google.com/maps/dir/43.612828,-96.770420/43.563654,-96.747168/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654)"
1_5_sov,sov,1,5,200,10,16.09,3.89187,6.26202,2.56946,10,10.6542,"https://www.google.com/maps/dir/43.612828,-96.770420/43.564034,-96.731569/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034)"
1_6_sov,sov,1,6,300,11,17.699,3.41918,5.50145,3.21715,11,12.5656,"https://www.google.com/maps/dir/43.612828,-96.770420/43.587586,-96.711644/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586)"
1_7_sov,sov,1,7,500,16,25.744,5.12869,8.25206,3.11971,16,33.0609,"https://www.google.com/maps/dir/43.612828,-96.770420/43.563844,-96.693423/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.693423 43.563844)"
1_8_sov,sov,1,8,800,13,20.917,4.57239,7.35697,2.84315,13,27.4087,"https://www.google.com/maps/dir/43.612828,-96.770420/43.562324,-96.711382/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324)"
1_9_sov,sov,1,9,500,15,24.135,4.85195,7.80678,3.09154,15,20.4614,"https://www.google.com/maps/dir/43.612828,-96.770420/43.548596,-96.731241/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596)"
1_10_sov,sov,1,10,1300,18,28.962,5.05918,8.14023,3.55789,18,26.1573,"https://www.google.com/maps/dir/43.612828,-96.770420/43.545271,-96.731438/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.731569 43.564034,-96.731241 43.548596,-96.731438 43.545271)"
1_11_sov,sov,1,11,500,14,22.526,4.8911,7.86978,2.86234,14,15.8393,"https://www.google.com/maps/dir/43.612828,-96.770420/43.544131,-96.746841/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131)"
1_12_sov,sov,1,12,200,8,12.872,4.78449,7.69824,1.67207,8,8.0335,"https://www.google.com/maps/dir/43.612828,-96.770420/43.543941,-96.780137/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941)"
1_13_sov,sov,1,13,500,11,17.699,8.51577,13.7019,1.29172,11,11.0612,"https://www.google.com/maps/dir/43.612828,-96.770420/43.490707,-96.793377/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.780137 43.543941,-96.793377 43.490707)"
1_14_sov,sov,1,14,300,18,28.962,5.85188,9.41567,3.07594,18,30.3854,"https://www.google.com/maps/dir/43.612828,-96.770420/43.529306,-96.751035/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306)"
1_15_sov,sov,1,15,500,23,37.007,6.0846,9.79012,3.78003,23,43.1192,"https://www.google.com/maps/dir/43.612828,-96.770420/43.529401,-96.731504/","LINESTRING(-96.770420 43.612828,-96.774303 43.572962,-96.747168 43.563654,-96.746841 43.544131,-96.751035 43.529306,-96.731504 43.529401)"
1_16_sov,sov,1,16,500,18,28.962,5.43882,8.75107,3.30954,18,37.9522,"https://www.google.com/maps/dir/43.612828,-96.770420/43.546744,-96.711382/","LINESTRING(-96.770420 43.612828,-96.711251 43.605813,-96.711644 43.587586,-96.711382 43.562324,-96.711382 43.546744)"
