trip_id,arrival_time,departure_time,stop_id,stop_sequence
L1_t01,07:00:00,07:00:00,201,1
L1_t01,07:04:00,07:04:00,202,2
L1_t01,07:08:00,07:08:00,203,3
L1_t02,07:10:00,07:10:00,201,1
L1_t02,07:14:00,07:14:00,202,2
L1_t02,07:18:00,07:18:00,203,3
L1_t03,07:20:00,07:20:00,201,1
L1_t03,07:24:00,07:24:00,202,2
L1_t03,07:28:00,07:28:00,203,3
L1_t04,07:30:00,07:30:00,201,1
L1_t04,07:34:00,07:34:00,202,2
L1_t04,07:38:00,07:38:00,203,3
L1_t05,07:40:00,07:40:00,201,1
L1_t05,07:44:00,07:44:00,202,2
L1_t05,07:48:00,07:48:00,203,3
L1_t06,07:50:00,07:50:00,201,1
L1_t06,07:54:00,07:54:00,202,2
L1_t06,07:58:00,07:58:00,203,3
L1_t07,08:00:00,08:00:00,201,1
L1_t07,08:04:00,08:04:00,202,2
L1_t07,08:08:00,08:08:00,203,3
L1_t08,08:10:00,08:10:00,201,1
L1_t08,08:14:00,08:14:00,202,2
L1_t08,08:18:00,08:18:00,203,3
L1_t09,08:20:00,08:20:00,201,1
L1_t09,08:24:00,08:24:00,202,2
L1_t09,08:28:00,08:28:00,203,3
L1_t10,08:30:00,08:30:00,201,1
L1_t10,08:34:00,08:34:00,202,2
L1_t10,08:38:00,08:38:00,203,3
L1_t11,08:40:00,08:40:00,201,1
L1_t11,08:44:00,08:44:00,202,2
L1_t11,08:48:00,08:48:00,203,3
L1_t12,08:50:00,08:50:00,201,1
L1_t12,08:54:00,08:54:00,202,2
L1_t12,08:58:00,08:58:00,203,3
L2_template,07:00:00,07:00:00,211,1
L2_template,07:06:00,07:06:00,212,2
L2_template,07:12:00,07:12:00,213,3
