link_id,from_node_id,to_node_id,capacity,length,free_speed,ref_volume,arc_type,directed_route_id,route_short_name,link_type
1,1,1001,1000000000.0,0.01417151797,2.0,0.0,non_ride,1.1,Yellow-S,2
2,1,1002,1000000000.0,0.01417151797,2.0,0.0,non_ride,1.1,Yellow-S,2
3,1,1003,1000000000.0,0.01417151797,2.0,0.0,non_ride,1.1,Yellow-S,2
4,1,1114,1000000000.0,0.01417151797,2.0,0.0,non_ride,2.2,Yellow-N,2
5,1,1115,1000000000.0,0.01417151797,2.0,0.0,non_ride,2.2,Yellow-N,2
6,1,1116,1000000000.0,0.01417151797,2.0,0.0,non_ride,2.2,Yellow-N,2
7,1,1191,1000000000.0,0.01417151797,2.0,0.0,non_ride,3.2,Orange-N,2
8,1,1192,1000000000.0,0.01417151797,2.0,0.0,non_ride,3.2,Orange-N,2
9,1,1193,1000000000.0,0.01417151797,2.0,0.0,non_ride,3.2,Orange-N,2
10,1,1246,1000000000.0,0.01417151797,2.0,0.0,non_ride,4.1,Orange-S,2
11,1,1333,1000000000.0,0.01417151797,2.0,0.0,non_ride,7.1,Red-S,2
12,1,1357,1000000000.0,0.01417151797,2.0,0.0,non_ride,8.2,Red-N,2
13,2,1004,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,1.1,Yellow-S,2
14,2,1005,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,1.1,Yellow-S,2
15,2,1006,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,1.1,Yellow-S,2
16,2,1076,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,11.1,Blue-S,2
17,2,1094,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,12.2,Blue-N,2
18,2,1117,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,2.2,Yellow-N,2
19,2,1118,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,2.2,Yellow-N,2
20,2,1119,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,2.2,Yellow-N,2
21,2,1267,1000000000.0,0.014174341390000001,2.0,0.0,non_ride,5.1,Green-S,2
